,Fascicle 1
0,"[273.6672419020079, 174.69442010614094, 0]"
1,"[276.1658510096047, 174.13931244940318, 0]"
2,"[279.2195677739392, 174.5557473006693, 0]"
3,"[280.330199522266, 173.86155040360867, 0]"
4,"[283.10615424080595, 173.44511555234254, 0]"
5,"[286.437633050935, 172.3344838040158, 0]"
6,"[289.4917662501208, 171.77937614727804, 0]"
7,"[292.68415581992696, 171.0851792502174, 0]"
8,"[294.62765727078596, 170.11363674221352, 0]"
9,"[297.12626637838275, 169.69720189094738, 0]"
10,"[299.4862026805079, 168.03146248588288, 0]"
11,"[301.56837693683855, 167.33726558882225, 0]"
12,"[304.89985574696755, 167.33726558882225, 0]"
13,"[307.1207028087698, 166.92083073755612, 0]"
14,"[309.6193119163666, 166.7821579320845, 0]"
15,"[314.0614224748224, 165.39418057281446, 0]"
16,"[317.67024689589465, 165.53285337828612, 0]"
17,"[321.4181605572898, 166.50439588628998, 0]"
18,"[324.61096656194724, 166.22705027534673, 0]"
19,"[328.22020741787077, 165.53285337828612, 0]"
20,"[332.2454666902091, 165.11641852702, 0]"
21,"[335.9933803516043, 164.69998367575386, 0]"
22,"[339.1861863562617, 164.1448760190161, 0]"
23,"[342.9341000176569, 163.5893519274271, 0]"
24,"[347.5148833815843, 164.1448760190161, 0]"
25,"[352.0956667455117, 165.39418057281446, 0]"
26,"[356.260015258173, 166.64348512661286, 0]"
27,"[359.59149406830204, 167.33726558882225, 0]"
28,"[363.20073492422557, 169.9749639367419, 0]"
29,"[365.2829091805562, 173.0286807010764, 0]"
30,"[368.0588638990962, 175.2495277628787, 0]"
31,"[370.557473006693, 177.33170201920933, 0]"
32,"[372.6396472630236, 178.58100657300773, 0]"
33,"[373.0560821142897, 181.91248538313675, 0]"
34,"[372.2232124117575, 184.68885653652802, 0]"
35,"[370.2801273957498, 187.18746564412479, 0]"
36,"[367.6424290478301, 188.8532050491893, 0]"
37,"[365.83801683729394, 190.65761725972544, 0]"
38,"[363.7558425809633, 192.46244590511284, 0]"
39,"[362.2287759813704, 194.9610550127096, 0]"
40,"[361.53499551916104, 197.18190207451187, 0]"
41,"[360.1466017250398, 199.1254035253709, 0]"
42,"[359.7301668737736, 201.4849233926448, 0]"
43,"[357.7870818577659, 203.42842484350382, 0]"
44,"[357.09288496070525, 205.64927190530608, 0]"
45,"[355.14938350984625, 208.9807507154351, 0]"
46,"[354.7329486585801, 212.451318765887, 0]"
47,"[355.56581836111235, 214.67216582768927, 0]"
48,"[356.260015258173, 217.7258825920238, 0]"
49,"[355.56581836111235, 220.22449169962056, 0]"
50,"[354.59427585310846, 221.33512344794732, 0]"
51,"[355.4271455556407, 224.52792945260475, 0]"
52,"[356.8151229149107, 226.8874493198786, 0]"
53,"[358.89729717124135, 228.96962357620927, 0]"
54,"[361.11856066789494, 231.32955987833444, 0]"
55,"[363.6171697754917, 233.8281689859312, 0]"
56,"[363.3394077296972, 236.8818857502657, 0]"
57,"[362.92297287843104, 239.10314924691926, 0]"
58,"[361.2572334733665, 240.21336456039472, 0]"
59,"[358.7586243657698, 241.74043115998765, 0]"
60,"[355.4271455556407, 242.29553881672538, 0]"
61,"[352.65077440224945, 242.5733008625199, 0]"
62,"[350.4299273404472, 241.87910396545925, 0]"
63,"[347.5148833815843, 240.07469175492312, 0]"
64,"[345.0162742739875, 239.7969297091286, 0]"
65,"[343.35053486892303, 239.7969297091286, 0]"
66,"[340.99059856679787, 239.658256903657, 0]"
67,"[337.93688180246335, 239.7969297091286, 0]"
68,"[336.1324695919272, 240.49112660618925, 0]"
69,"[334.4667301868627, 241.87910396545925, 0]"
70,"[333.49477124400755, 243.68393261084668, 0]"
71,"[331.6903590334714, 245.9047796726489, 0]"
72,"[328.7753150746085, 246.87632218065278, 0]"
73,"[326.27670596701176, 246.18254171844345, 0]"
74,"[323.63942405394334, 244.1003674621128, 0]"
75,"[320.4466180492859, 242.98973571378602, 0]"
76,"[318.6422058387498, 240.9075614574554, 0]"
77,"[316.9764664336853, 241.32399630872152, 0]"
78,"[315.0329649828263, 240.7688886519838, 0]"
79,"[312.39568306975787, 238.82538720112473, 0]"
80,"[311.70148617269723, 238.1311903040641, 0]"
81,"[309.2028770651005, 236.6045401393225, 0]"
82,"[307.39846485456434, 234.79971149393506, 0]"
83,"[303.6505511931692, 233.6894961804596, 0]"
84,"[301.290614891044, 234.1059310317257, 0]"
85,"[299.06976782924175, 234.24460383719733, 0]"
86,"[295.73828901911276, 236.04901604773346, 0]"
87,"[294.62765727078596, 237.43740984185473, 0]"
88,"[291.9903753577176, 239.3804948578625, 0]"
89,"[289.63043905559243, 240.49112660618925, 0]"
90,"[286.8540679022011, 241.74043115998765, 0]"
91,"[283.80035113786664, 242.15686601125375, 0]"
92,"[279.49732981973375, 242.5733008625199, 0]"
93,"[276.4431966205479, 242.01819320578215, 0]"
94,"[273.1117178104189, 241.87910396545925, 0]"
95,"[270.89087074861663, 241.46266911419312, 0]"
96,"[268.39226164101984, 240.62979941166085, 0]"
97,"[267.00428428174985, 239.7969297091286, 0]"
98,"[264.2279131283586, 238.82538720112473, 0]"
99,"[262.7008465287657, 237.15964779606023, 0]"
100,"[260.75776151275795, 235.4939083909957, 0]"
101,"[257.1485206568344, 235.07747353972957, 0]"
102,"[253.53927980091083, 234.66103868846346, 0]"
103,"[252.28997524711247, 233.55040694013667, 0]"
104,"[251.04067069331407, 230.63536298127377, 0]"
105,"[251.5961947849031, 228.83095077073764, 0]"
106,"[252.7064100983786, 226.748776514407, 0]"
107,"[254.3721495034431, 224.38884021228185, 0]"
108,"[255.7605432975644, 223.41729770427798, 0]"
109,"[257.9813903593666, 223.00086285301185, 0]"
110,"[260.0635646156973, 222.72310080721732, 0]"
111,"[262.14573887202795, 221.61288549374186, 0]"
112,"[264.9221100254192, 219.94714608867736, 0]"
113,"[266.17141457921764, 218.69784153487896, 0]"
114,"[267.55939193848764, 216.6156672785483, 0]"
115,"[267.8371539842821, 214.8108386331609, 0]"
116,"[267.97582678975374, 212.31222952556413, 0]"
117,"[267.420719133016, 210.2300552692335, 0]"
118,"[267.00428428174985, 207.8705354019596, 0]"
119,"[266.86519504142694, 205.23283705403995, 0]"
120,"[265.7549797279515, 204.12262174056443, 0]"
121,"[265.47721768215695, 201.62401263296766, 0]"
122,"[264.5056751741531, 199.40274913631416, 0]"
123,"[263.67280547162085, 198.29253382283864, 0]"
124,"[263.95015108256405, 195.9325975207135, 0]"
125,"[264.08924032288695, 193.7117504589112, 0]"
126,"[264.08924032288695, 190.65761725972544, 0]"
127,"[265.06078283089084, 188.43677019792318, 0]"
128,"[265.47721768215695, 186.07683389579805, 0]"
129,"[267.55939193848764, 183.85598683399576, 0]"
130,"[269.9193282406128, 180.52450802386673, 0]"
131,"[271.02954355408826, 178.1645717217416, 0]"
132,"[272.00150249694343, 176.36015951120544, 0]"
133,"[273.6672419020079, 174.69442010614094, 0]"
134,"[276.1658510096047, 174.13931244940318, 0]"
135,"[279.2195677739392, 174.5557473006693, 0]"
136,"[280.330199522266, 173.86155040360867, 0]"
137,"[283.10615424080595, 173.44511555234254, 0]"
138,"[286.437633050935, 172.3344838040158, 0]"
139,"[289.4917662501208, 171.77937614727804, 0]"
140,"[292.68415581992696, 171.0851792502174, 0]"
141,"[294.62765727078596, 170.11363674221352, 0]"
142,"[297.12626637838275, 169.69720189094738, 0]"
143,"[299.4862026805079, 168.03146248588288, 0]"
144,"[301.56837693683855, 167.33726558882225, 0]"
145,"[304.89985574696755, 167.33726558882225, 0]"
146,"[307.1207028087698, 166.92083073755612, 0]"
147,"[309.6193119163666, 166.7821579320845, 0]"
148,"[314.0614224748224, 165.39418057281446, 0]"
149,"[317.67024689589465, 165.53285337828612, 0]"
150,"[321.4181605572898, 166.50439588628998, 0]"
151,"[324.61096656194724, 166.22705027534673, 0]"
152,"[328.22020741787077, 165.53285337828612, 0]"
153,"[332.2454666902091, 165.11641852702, 0]"
154,"[335.9933803516043, 164.69998367575386, 0]"
155,"[339.1861863562617, 164.1448760190161, 0]"
156,"[342.9341000176569, 163.5893519274271, 0]"
157,"[347.5148833815843, 164.1448760190161, 0]"
158,"[352.0956667455117, 165.39418057281446, 0]"
159,"[356.260015258173, 166.64348512661286, 0]"
160,"[359.59149406830204, 167.33726558882225, 0]"
161,"[363.20073492422557, 169.9749639367419, 0]"
162,"[365.2829091805562, 173.0286807010764, 0]"
163,"[368.0588638990962, 175.2495277628787, 0]"
164,"[370.557473006693, 177.33170201920933, 0]"
165,"[372.6396472630236, 178.58100657300773, 0]"
166,"[373.0560821142897, 181.91248538313675, 0]"
167,"[372.2232124117575, 184.68885653652802, 0]"
168,"[370.2801273957498, 187.18746564412479, 0]"
169,"[367.6424290478301, 188.8532050491893, 0]"
170,"[365.83801683729394, 190.65761725972544, 0]"
171,"[363.7558425809633, 192.46244590511284, 0]"
172,"[362.2287759813704, 194.9610550127096, 0]"
173,"[361.53499551916104, 197.18190207451187, 0]"
174,"[360.1466017250398, 199.1254035253709, 0]"
175,"[359.7301668737736, 201.4849233926448, 0]"
176,"[357.7870818577659, 203.42842484350382, 0]"
177,"[357.09288496070525, 205.64927190530608, 0]"
178,"[355.14938350984625, 208.9807507154351, 0]"
179,"[354.7329486585801, 212.451318765887, 0]"
180,"[355.56581836111235, 214.67216582768927, 0]"
181,"[356.260015258173, 217.7258825920238, 0]"
182,"[355.56581836111235, 220.22449169962056, 0]"
183,"[354.59427585310846, 221.33512344794732, 0]"
184,"[355.4271455556407, 224.52792945260475, 0]"
185,"[356.8151229149107, 226.8874493198786, 0]"
186,"[358.89729717124135, 228.96962357620927, 0]"
187,"[361.11856066789494, 231.32955987833444, 0]"
188,"[363.6171697754917, 233.8281689859312, 0]"
189,"[363.3394077296972, 236.8818857502657, 0]"
190,"[362.92297287843104, 239.10314924691926, 0]"
191,"[361.2572334733665, 240.21336456039472, 0]"
192,"[358.7586243657698, 241.74043115998765, 0]"
193,"[355.4271455556407, 242.29553881672538, 0]"
194,"[352.65077440224945, 242.5733008625199, 0]"
195,"[350.4299273404472, 241.87910396545925, 0]"
196,"[347.5148833815843, 240.07469175492312, 0]"
197,"[345.0162742739875, 239.7969297091286, 0]"
198,"[343.35053486892303, 239.7969297091286, 0]"
199,"[340.99059856679787, 239.658256903657, 0]"
200,"[337.93688180246335, 239.7969297091286, 0]"
201,"[336.1324695919272, 240.49112660618925, 0]"
202,"[334.4667301868627, 241.87910396545925, 0]"
203,"[333.49477124400755, 243.68393261084668, 0]"
204,"[331.6903590334714, 245.9047796726489, 0]"
205,"[328.7753150746085, 246.87632218065278, 0]"
206,"[326.27670596701176, 246.18254171844345, 0]"
207,"[323.63942405394334, 244.1003674621128, 0]"
208,"[320.4466180492859, 242.98973571378602, 0]"
209,"[318.6422058387498, 240.9075614574554, 0]"
210,"[316.9764664336853, 241.32399630872152, 0]"
211,"[315.0329649828263, 240.7688886519838, 0]"
212,"[312.39568306975787, 238.82538720112473, 0]"
213,"[311.70148617269723, 238.1311903040641, 0]"
214,"[309.2028770651005, 236.6045401393225, 0]"
215,"[307.39846485456434, 234.79971149393506, 0]"
216,"[303.6505511931692, 233.6894961804596, 0]"
217,"[301.290614891044, 234.1059310317257, 0]"
218,"[299.06976782924175, 234.24460383719733, 0]"
219,"[295.73828901911276, 236.04901604773346, 0]"
220,"[294.62765727078596, 237.43740984185473, 0]"
221,"[291.9903753577176, 239.3804948578625, 0]"
222,"[289.63043905559243, 240.49112660618925, 0]"
223,"[286.8540679022011, 241.74043115998765, 0]"
224,"[283.80035113786664, 242.15686601125375, 0]"
225,"[279.49732981973375, 242.5733008625199, 0]"
226,"[276.4431966205479, 242.01819320578215, 0]"
227,"[273.1117178104189, 241.87910396545925, 0]"
228,"[270.89087074861663, 241.46266911419312, 0]"
229,"[268.39226164101984, 240.62979941166085, 0]"
230,"[267.00428428174985, 239.7969297091286, 0]"
231,"[264.2279131283586, 238.82538720112473, 0]"
232,"[262.7008465287657, 237.15964779606023, 0]"
233,"[260.75776151275795, 235.4939083909957, 0]"
234,"[257.1485206568344, 235.07747353972957, 0]"
235,"[253.53927980091083, 234.66103868846346, 0]"
236,"[252.28997524711247, 233.55040694013667, 0]"
237,"[251.04067069331407, 230.63536298127377, 0]"
238,"[251.5961947849031, 228.83095077073764, 0]"
239,"[252.7064100983786, 226.748776514407, 0]"
240,"[254.3721495034431, 224.38884021228185, 0]"
241,"[255.7605432975644, 223.41729770427798, 0]"
242,"[257.9813903593666, 223.00086285301185, 0]"
243,"[260.0635646156973, 222.72310080721732, 0]"
244,"[262.14573887202795, 221.61288549374186, 0]"
245,"[264.9221100254192, 219.94714608867736, 0]"
246,"[266.17141457921764, 218.69784153487896, 0]"
247,"[267.55939193848764, 216.6156672785483, 0]"
248,"[267.8371539842821, 214.8108386331609, 0]"
249,"[267.97582678975374, 212.31222952556413, 0]"
250,"[267.420719133016, 210.2300552692335, 0]"
251,"[267.00428428174985, 207.8705354019596, 0]"
252,"[266.86519504142694, 205.23283705403995, 0]"
253,"[265.7549797279515, 204.12262174056443, 0]"
254,"[265.47721768215695, 201.62401263296766, 0]"
255,"[264.5056751741531, 199.40274913631416, 0]"
256,"[263.67280547162085, 198.29253382283864, 0]"
257,"[263.95015108256405, 195.9325975207135, 0]"
258,"[264.08924032288695, 193.7117504589112, 0]"
259,"[264.08924032288695, 190.65761725972544, 0]"
260,"[265.06078283089084, 188.43677019792318, 0]"
261,"[265.47721768215695, 186.07683389579805, 0]"
262,"[267.55939193848764, 183.85598683399576, 0]"
263,"[269.9193282406128, 180.52450802386673, 0]"
264,"[271.02954355408826, 178.1645717217416, 0]"
265,"[272.00150249694343, 176.36015951120544, 0]"
