Contour_num,Centroid_x,Centroid_y,Centroid_z,Circular Diameter (Area)
1,549.9273986453117,381.34353344999937,0,4.416913774262412
2,238.31148868267115,386.3653571900503,0,3.180817831912634
3,390.2836707935739,484.89327166842315,0,4.933789823863833
4,517.6276383484789,366.8018056344823,0,4.420651656127234
5,375.20615002922534,356.7810705062637,0,3.220968727622619
6,569.0827953347756,377.7576837508292,0,3.2979338471481014
7,343.2091655286691,379.4967702776918,0,5.4792754901336025
8,424.9257801823143,462.40312004865996,0,5.720321196518569
9,497.9208452155964,365.83601788590863,0,4.23788628582804
10,490.183794993055,485.2365646938571,0,3.985917949595546
11,674.5462734090985,364.51528145656886,0,4.841139112202995
12,676.7828711797333,407.20514886734526,0,4.277372768581472
13,374.8612606213932,464.30476284736784,0,3.826768536723307
14,612.246902881154,344.8235473165068,0,3.296036121363727
15,326.72291179582936,365.6101879295839,0,5.207242414455891
16,413.67398094843827,385.5250824986098,0,4.767632886014155
17,317.2049229919753,448.3687405866078,0,5.385878334389304
18,633.0546134317045,368.5402991234023,0,3.4593940493625723
19,489.31004678939235,402.41079940624843,0,4.250274933658943
20,311.0381828161482,383.023583693545,0,3.20513385724513
21,246.5967097187027,375.16001884052093,0,3.7296033634714263
22,607.8068908697198,411.06048016445783,0,5.197993098429947
23,727.1801986610651,405.9381660148578,0,4.011632856073675
24,715.8972832628535,356.607459350292,0,2.8016570799362626
25,542.2213510120397,448.18284328901393,0,3.9018336330984766
26,361.56227750334983,453.6988342145447,0,5.635846026630475
27,324.7787289714885,347.5035233871982,0,5.211034798127912
28,620.8333319382358,403.1309531914951,0,2.9975723101139238
29,685.4162243740435,409.7341741891315,0,4.0382754514815815
30,601.1934460027192,367.3784974303406,0,5.0294220687708275
31,626.9169485953597,439.4511396105286,0,3.771639380913939
32,526.6385318763438,420.15482914981936,0,3.6925819682372776
33,510.8721692613352,483.87076280897776,0,3.0503625150505513
34,370.1432242536754,430.96143267553674,0,3.343107193050969
35,418.3328699587742,419.18817941431416,0,3.0211661158552943
36,704.8733886800193,414.8963502754486,0,4.49151771757613
37,450.41954911642347,372.39903800892864,0,3.8412045489942557
38,358.3993067686668,418.39259699708634,0,5.005806591304577
39,308.4839890888797,441.26589751486887,0,4.30008786231781
40,588.9939797608657,395.45116816946415,0,3.841765347219507
41,530.2088653460993,379.7356296158158,0,3.169646340798522
42,534.3780344435165,412.4313067475186,0,4.345171495516752
43,267.1166821270966,374.83058609563705,0,3.197198020742462
44,560.2036978871058,368.73198365633385,0,5.669455625939122
45,326.1966310715549,480.92247981149467,0,3.5619267581578242
46,699.5611044020029,402.00380141020923,0,4.622975334340026
47,493.2104589952457,467.0289902128539,0,3.8226189246717013
48,499.42147610068986,410.9162022400764,0,5.431233427574057
49,357.4808480670972,479.2659821412513,0,3.432380299444162
50,300.18884552034666,447.2579847604521,0,3.6801877717939533
51,519.8546678408328,434.2964762165671,0,2.8986377919377446
52,495.32896144199526,480.99667971856286,0,3.91318169185422
53,569.0665832286817,412.2378676605737,0,3.6533957082939423
54,614.609746136253,333.8764090610957,0,3.79432862860574
55,483.65316979281806,426.56445906932163,0,3.457592648308946
56,498.0524769883,401.888454448686,0,3.832552901512827
57,692.7691809015764,357.1516727655001,0,4.191997756584897
58,313.97965517574875,468.22658998083585,0,3.103925181679017
59,678.8468836200536,426.1266307617544,0,5.602780726092533
60,485.74406586100366,476.12214838209457,0,5.165795824996735
61,421.7441365624044,409.03715398491244,0,3.687054320312143
62,469.56104392452005,448.9177273541494,0,5.180616337999936
63,674.6071411634576,452.2982156315922,0,4.2396035003527
64,278.1943376296851,374.9208528642069,0,4.628042355742764
65,373.4501364009147,402.9752633402998,0,4.75250489809838
66,442.9462870441456,396.4757700465559,0,3.825623983540595
67,681.5988969615817,449.7203887706148,0,3.6880762091527686
68,713.9421618254356,407.6529959943941,0,5.398952138249342
69,539.940096769036,461.1133764974443,0,3.767892643407208
70,508.29490726129285,464.34210114640706,0,4.043249170138893
71,533.7228532788303,448.99623287926755,0,4.91600244979827
72,523.5447832333078,372.8898540382741,0,4.091644162679586
73,458.4309238065485,438.3896181906387,0,4.683687280637741
74,706.3342653603564,382.7512957801453,0,3.0584015275268257
75,683.2663629118133,390.0552333307728,0,3.0230830612941872
76,688.6327209254134,425.08607147200564,0,4.266815891427882
77,411.2879724281634,461.23974024734997,0,3.5927930528676484
78,359.9326526284111,429.45914039394955,0,2.8213532774067858
79,373.5214673004205,445.20323402937305,0,3.5994392798019703
80,518.4444904289028,470.7491815836116,0,2.823735722441029
81,611.3893697326259,371.0644704539643,0,4.987225260427408
82,349.7091464717022,421.75623063149027,0,3.551416122857063
83,432.186529576123,400.46181114276106,0,4.107471797085736
84,647.127024084009,367.30781188679435,0,4.722490665994087
85,718.4164343688423,380.32347790546146,0,3.136154931249507
86,265.01002534463646,386.0047227865315,0,5.607628984449207
87,370.7495037327389,476.2758025929871,0,5.160907506114086
88,420.5329282136283,389.38253508415585,0,3.5068752747451413
89,637.8039641416143,455.5159331895194,0,4.864679502540639
90,494.2387163833653,394.35502322717673,0,5.143562784889923
91,687.4487404604394,434.3948649281142,0,5.433230520680581
92,476.07757837386356,386.1465369007982,0,5.519989355411781
93,560.7164220821709,419.5016629064705,0,4.463567335522271
94,465.1229703235479,385.81032652963876,0,5.640020381090494
95,411.24753471971735,446.0440299692483,0,3.9924566192750603
96,741.467117464736,371.9821697927534,0,3.2973648839172256
97,718.9769191590108,366.38994711844157,0,4.954173095675287
98,637.7158989153936,427.72531054809735,0,5.145594556430751
99,626.2974760352713,360.731113520819,0,5.70977724395766
100,611.6283183034859,456.04065479851766,0,4.3033677508873325
