,Fascicle
0,"[286.59838248492093, 398.08830270432975, 0]"
1,"[282.5041198779935, 399.3480758141536, 0]"
2,"[278.5148383635514, 401.34271657137464, 0]"
3,"[273.5807270167414, 403.757281698537, 0]"
4,"[270.1163509647259, 405.22701699333146, 0]"
5,"[266.65197491271033, 406.38180901066994, 0]"
6,"[263.2925799531801, 406.17184682569933, 0]"
7,"[259.8282039011646, 407.5366010280085, 0]"
8,"[255.9439034792078, 408.69139304534696, 0]"
9,"[252.5845085196776, 410.4760716175974, 0]"
10,"[248.2802837277795, 412.0507880048772, 0]"
11,"[243.8710778433961, 412.6806745597891, 0]"
12,"[239.14692868155674, 413.2055800222157, 0]"
13,"[234.63274170468804, 412.47071237481845, 0]"
14,"[228.75380052551017, 412.1557690973625, 0]"
15,"[222.8748593463323, 411.1059581725093, 0]"
16,"[216.89093707466913, 409.9511661551708, 0]"
17,"[212.901655560227, 407.95652539794975, 0]"
18,"[208.4924496758436, 406.38180901066994, 0]"
19,"[205.7629412712253, 402.91743295865444, 0]"
20,"[204.60814925388678, 399.4530569066389, 0]"
21,"[209.96218497063805, 396.7235485020206, 0]"
22,"[215.73614505733062, 395.0438510222555, 0]"
23,"[221.30014295905252, 393.78407791243166, 0]"
24,"[226.23425430586252, 391.47449387775464, 0]"
25,"[229.80361145036335, 389.26989093556296, 0]"
26,"[228.22889506308357, 384.75570395869426, 0]"
27,"[226.33923539834782, 381.50129009164937, 0]"
28,"[226.86414086077443, 377.40702748472194, 0]"
29,"[228.75380052551017, 373.83767034022105, 0]"
30,"[232.11319548504036, 370.05835101074956, 0]"
31,"[235.26262825959995, 368.3786535309845, 0]"
32,"[238.72700431161547, 368.1686913460138, 0]"
33,"[238.51704212664484, 365.54416403388086, 0]"
34,"[238.20209884918887, 361.23993924198277, 0]"
35,"[237.6771933867623, 357.88054428245255, 0]"
36,"[237.99213666421824, 353.6813005830398, 0]"
37,"[242.0863992711457, 349.37707579114175, 0]"
38,"[247.6503971728676, 347.6973783113766, 0]"
39,"[252.6894896121629, 347.80235940386194, 0]"
40,"[257.30865768151693, 348.5372270512592, 0]"
41,"[262.97763667572417, 347.80235940386194, 0]"
42,"[266.96691819016627, 347.17247284895, 0]"
43,"[270.74623751963776, 345.07285099924366, 0]"
44,"[274.105632479168, 342.97322914953725, 0]"
45,"[277.15008416124226, 341.71345603971344, 0]"
46,"[280.9294034907137, 339.71881528249236, 0]"
47,"[284.91868500515585, 338.98394763509515, 0]"
48,"[290.3777018143924, 339.4038720050364, 0]"
49,"[295.52177534617306, 340.9785883923162, 0]"
50,"[299.82600013807115, 342.23836150214004, 0]"
51,"[303.5003383750573, 342.553304779596, 0]"
52,"[308.2244875368967, 341.81843713219877, 0]"
53,"[311.7938446813975, 339.4038720050364, 0]"
54,"[315.46818291838366, 336.14945813799153, 0]"
55,"[320.29731317270836, 335.20462830562366, 0]"
56,"[325.441386704489, 336.14945813799153, 0]"
57,"[333.41994973337324, 336.77934469290346, 0]"
58,"[340.76862620734556, 336.98930687787407, 0]"
59,"[346.22764301658214, 339.6138341900071, 0]"
60,"[351.8966220107894, 341.29353166977216, 0]"
61,"[358.5104308373645, 343.6031157044492, 0]"
62,"[364.49435310902766, 345.28281318421426, 0]"
63,"[368.5886157159551, 347.27745394143534, 0]"
64,"[373.7326892477357, 349.58703797611236, 0]"
65,"[378.9817438720017, 350.9517921784215, 0]"
66,"[386.43540143845934, 351.2667354558775, 0]"
67,"[393.2591724500051, 352.63148965818664, 0]"
68,"[399.2430947216683, 354.3111871379517, 0]"
69,"[404.8070926233902, 355.99088461771686, 0]"
70,"[410.5810527100827, 357.14567663505534, 0]"
71,"[417.9297291840551, 358.72039302233514, 0]"
72,"[423.2837649008063, 359.45526066973235, 0]"
73,"[429.8975737273814, 360.50507159458556, 0]"
74,"[435.356590536618, 361.3449203344681, 0]"
75,"[442.28534264064905, 361.44990142695343, 0]"
76,"[448.68918928225355, 361.65986361192404, 0]"
77,"[455.6179413862846, 362.289750166836, 0]"
78,"[461.6018636579478, 363.3395610916892, 0]"
79,"[468.3206535770082, 363.6545043691451, 0]"
80,"[474.4095569411567, 362.3947312593213, 0]"
81,"[480.81340358276117, 359.0353362997911, 0]"
82,"[488.2670611492188, 355.99088461771686, 0]"
83,"[497.0854729179856, 353.4713383980692, 0]"
84,"[504.43414939195793, 354.3111871379517, 0]"
85,"[508.94833636882663, 355.99088461771686, 0]"
86,"[514.9322586404899, 356.8307333575994, 0]"
87,"[521.4410863745796, 358.93035520730575, 0]"
88,"[529.6296115884345, 358.72039302233514, 0]"
89,"[536.1384393225243, 356.09586571020213, 0]"
90,"[541.282512854305, 353.4713383980692, 0]"
91,"[546.1116431086296, 350.53186780848023, 0]"
92,"[552.2005464727781, 347.6973783113766, 0]"
93,"[560.5990338716036, 345.87742609205117, 0]"
94,"[567.5974934210449, 345.87742609205117, 0]"
95,"[575.7163111894896, 344.33798335184645, 0]"
96,"[582.2948463689895, 341.95869187175913, 0]"
97,"[589.8534850279325, 338.5992969122289, 0]"
98,"[595.7324262071104, 334.40005321281615, 0]"
99,"[601.7516221258487, 329.92030003428266, 0]"
100,"[607.2106389350853, 325.86131107443026, 0]"
101,"[613.9294288541457, 321.3823977446366, 0]"
102,"[622.607585883352, 317.3225689360444, 0]"
103,"[632.8260255015031, 314.66360782557615, 0]"
104,"[641.6444372702699, 316.3433053053413, 0]"
105,"[646.9631993399461, 321.6620673750175, 0]"
106,"[651.4429525184797, 326.0015658139906, 0]"
107,"[657.1816389580971, 330.4804791437843, 0]"
108,"[660.400779178067, 336.0797506925813, 0]"
109,"[664.7402776170401, 340.83833365275586, 0]"
110,"[669.7793700563354, 344.8981624613481, 0]"
111,"[679.5778853045451, 347.55712357181625, 0]"
112,"[688.8162214432532, 345.31808683128935, 0]"
113,"[697.3541237328992, 348.1173026813179, 0]"
114,"[705.8928658712852, 346.57785994111316, 0]"
115,"[713.3112497906677, 345.59775646167026, 0]"
116,"[721.2898128195519, 345.87742609205117, 0]"
117,"[728.2891122177332, 351.8966220107894, 0]"
118,"[734.5879777668523, 355.95561097064177, 0]"
119,"[741.4461825767332, 360.2951094096149, 0]"
120,"[746.9051993859698, 365.61387147929116, 0]"
121,"[754.4638380449128, 367.1541540682357, 0]"
122,"[759.6431852237685, 372.61317087747227, 0]"
123,"[759.502930484208, 380.3112244272358, 0]"
124,"[759.2232608538272, 388.7097118260613, 0]"
125,"[757.4033086345017, 395.42850174512176, 0]"
126,"[753.6239893050302, 402.14729166418215, 0]"
127,"[749.4247456056174, 407.74656321297914, 0]"
128,"[749.1450759752366, 414.32509839247916, 0]"
129,"[744.2462382755017, 419.78411520171574, 0]"
130,"[739.6270702061477, 423.0040952704254, 0]"
131,"[733.8875439177903, 427.0630842302778, 0]"
132,"[733.0476951779077, 432.6623557790748, 0]"
133,"[726.0492356284664, 434.7619776287812, 0]"
134,"[719.8906248189077, 441.6201824386621, 0]"
135,"[712.8913254207264, 446.37960524757654, 0]"
136,"[704.3534231310805, 449.178821097605, 0]"
137,"[697.914302842401, 454.9183473859625, 0]"
138,"[693.7150591429881, 457.99723286637186, 0]"
139,"[686.2966752236056, 458.41715723631313, 0]"
140,"[680.5571489352482, 458.9773363458148, 0]"
141,"[674.8184624956307, 462.8969104148467, 0]"
142,"[668.659851686072, 465.8363810044356, 0]"
143,"[661.5211373970703, 467.2355690050799, 0]"
144,"[653.8222439985669, 467.2355690050799, 0]"
145,"[646.1233506000635, 468.07541774496246, 0]"
146,"[638.8452214202414, 472.55517092349606, 0]"
147,"[628.48652706253, 478.15360262355307, 0]"
148,"[621.4880675130887, 479.6938852124977, 0]"
149,"[614.9095323335887, 482.2134314321454, 0]"
150,"[607.3508936746457, 486.83259950149943, 0]"
151,"[598.5324819058789, 486.1321656524373, 0]"
152,"[590.4136641374342, 488.7919666116454, 0]"
153,"[585.2343169585785, 489.3521457211471, 0]"
154,"[576.9760842993134, 488.23178750214373, 0]"
155,"[567.4580785302245, 488.09237261132324, 0]"
156,"[559.6189303921607, 488.5122969812645, 0]"
157,"[553.460319582602, 486.97201439231986, 0]"
158,"[542.1223615941875, 487.53219350182155, 0]"
159,"[533.0242801950399, 490.75133372179135, 0]"
160,"[524.205868426273, 492.9912103110582, 0]"
161,"[516.7866446581505, 494.9505774212041, 0]"
162,"[508.6686667384458, 494.8111625303837, 0]"
163,"[498.1705574899139, 498.7298967506756, 0]"
164,"[491.1712580917326, 499.71000023011857, 0]"
165,"[479.55363047293736, 499.9896698604995, 0]"
166,"[471.0148883345514, 498.7298967506756, 0]"
167,"[457.2976388660497, 499.850254969679, 0]"
168,"[444.8401625073718, 500.5498489700011, 0]"
169,"[434.2017985192795, 500.829518600382, 0]"
170,"[423.2837649008063, 500.6901037095615, 0]"
171,"[409.1465910623633, 500.829518600382, 0]"
172,"[393.889059004917, 500.27017933962026, 0]"
173,"[382.69135575606293, 498.1705574899139, 0]"
174,"[372.05299176797064, 496.0709356402075, 0]"
175,"[361.55488251943876, 494.1107286813216, 0]"
176,"[348.8168966816401, 491.0318432009122, 0]"
177,"[338.5992969122289, 489.7720700910884, 0]"
178,"[330.34022440422393, 490.19199446102965, 0]"
179,"[321.9417370053984, 488.93222135120584, 0]"
180,"[315.0835321955175, 487.2525238714407, 0]"
181,"[303.745574207103, 486.41267513155816, 0]"
182,"[291.8474371091869, 483.6126194327897, 0]"
183,"[282.88877060085974, 480.5337339523803, 0]"
184,"[273.09109520138986, 477.59426336279137, 0]"
185,"[266.0917958032087, 473.67468929375946, 0]"
186,"[260.0734397332103, 470.0356247038484, 0]"
187,"[255.17376218473552, 466.2563053743769, 0]"
188,"[253.2143950745895, 458.8370816062544, 0]"
189,"[256.7140447736801, 452.3988011663148, 0]"
190,"[259.5132606237086, 445.81942613807485, 0]"
191,"[263.9921739535023, 439.2408909585748, 0]"
192,"[269.73170024185964, 433.50220451895734, 0]"
193,"[275.6106414210375, 428.3228573401016, 0]"
194,"[280.36922438121206, 422.16424653054287, 0]"
195,"[286.94859940945196, 416.9848993516872, 0]"
196,"[290.3079943689822, 412.2254765427728, 0]"
197,"[292.96695547945035, 405.92661099365364, 0]"
198,"[293.3868798493916, 400.60784892397743, 0]"
199,"[289.74781525948055, 398.508227074271, 0]"
